Subject;Group;Map;NumTF;MeanCorr;Gev;BCorr;MaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject1;Group1;Map1;24097;0.770174;0.445300;0.982261;8.744685;1.687286;4.635093;0.446241;0.072759
Subject1;Group1;Map2;9261;0.697045;0.084443;0.964915;6.853313;1.381375;3.036404;0.171500;0.047111
Subject1;Group1;Map3;1507;0.578436;0.006236;0.783191;5.855820;1.184115;2.152451;0.027907;0.011130
Subject1;Group1;Map4;11933;0.707133;0.134681;0.971932;8.371307;1.475276;3.256378;0.220981;0.055500
Subject2;Group1;Map1;18552;0.735235;0.314290;0.961339;6.336107;1.430865;3.768488;0.343556;0.069519
Subject2;Group1;Map2;8833;0.662273;0.080290;0.911735;3.973038;1.219586;2.940815;0.163574;0.046944
Subject2;Group1;Map3;770;0.587242;0.004757;0.737100;2.710897;1.178262;1.969568;0.014259;0.006296
Subject2;Group1;Map4;15361;0.710790;0.204447;0.965176;4.724729;1.314580;3.531826;0.284463;0.065259
Subject3;Group1;Map1;15875;0.682766;0.224642;0.959637;3.084557;1.294072;3.430667;0.293981;0.071259
Subject3;Group1;Map2;5491;0.628391;0.047973;0.906090;2.830343;1.142897;2.568339;0.101685;0.034407
Subject3;Group1;Map3;15314;0.670746;0.200469;0.955683;3.251138;1.270130;3.411879;0.283593;0.069556
Subject3;Group1;Map4;5270;0.629794;0.048120;0.912883;2.352534;1.160978;2.474180;0.097593;0.034315
Subject4;Group1;Map1;19784;0.746760;0.356778;0.966111;12.063814;1.585857;4.415993;0.366370;0.066093
Subject4;Group1;Map2;10771;0.705440;0.117138;0.967600;12.776891;1.344305;3.386577;0.199463;0.049019
Subject4;Group1;Map3;4225;0.596510;0.024178;0.799778;8.110153;1.277369;2.780455;0.078241;0.023556
Subject4;Group1;Map4;11940;0.714340;0.125705;0.961074;8.688744;1.366335;3.575243;0.221111;0.051611
Subject5;Group1;Map1;29851;0.810612;0.538783;0.982394;6.736363;1.737286;5.477927;0.552796;0.075722
Subject5;Group1;Map2;6677;0.743610;0.049046;0.973009;4.519146;1.250400;2.718443;0.123648;0.039167
Subject5;Group1;Map3;2968;0.661130;0.013818;0.874795;5.369858;1.140768;2.338545;0.054963;0.019778
Subject5;Group1;Map4;12760;0.762720;0.141170;0.975723;6.682390;1.452574;3.267557;0.236296;0.059981
Subject6;Group1;Map1;23618;0.808246;0.479533;0.990892;8.818507;1.949226;4.698046;0.437370;0.070204
Subject6;Group1;Map2;9801;0.746708;0.087259;0.979182;6.811437;1.444908;3.155155;0.181500;0.047870
Subject6;Group1;Map3;3548;0.636272;0.013950;0.867307;3.950854;1.196835;2.632838;0.065704;0.020593
Subject6;Group1;Map4;13466;0.765591;0.167742;0.987546;6.863367;1.634580;3.475978;0.249370;0.058407
Subject7;Group1;Map1;26879;0.820205;0.489253;0.984774;5.358633;1.485807;5.573991;0.497759;0.069778
Subject7;Group1;Map2;8397;0.766368;0.073839;0.975359;3.462810;1.151461;3.032574;0.155500;0.043315
Subject7;Group1;Map3;2763;0.652518;0.012383;0.848779;2.706297;0.972013;2.437645;0.051167;0.017759
Subject7;Group1;Map4;13733;0.783117;0.162827;0.980674;3.745148;1.278057;3.633160;0.254315;0.057426
Subject8;Group1;Map1;32017;0.847071;0.621472;0.990462;4.844461;1.511659;6.634096;0.592907;0.070000
Subject8;Group1;Map2;9763;0.788762;0.095208;0.980340;4.186106;1.165299;3.152308;0.180796;0.047833
Subject8;Group1;Map3;3644;0.680815;0.016717;0.875087;2.744339;0.954101;2.507670;0.067481;0.022907
Subject8;Group1;Map4;7581;0.778247;0.062558;0.977939;3.101333;1.096632;2.946001;0.140389;0.040778
Subject9;Group1;Map1;19346;0.758615;0.333412;0.980725;5.785010;1.535206;3.860052;0.358259;0.073685
Subject9;Group1;Map2;14112;0.730200;0.174023;0.979078;4.707788;1.377105;3.420812;0.261333;0.063148
Subject9;Group1;Map3;5259;0.659748;0.034741;0.907542;3.838266;1.175820;2.613613;0.097389;0.031648
Subject9;Group1;Map4;10633;0.717732;0.109418;0.974498;4.996552;1.294518;3.049412;0.196907;0.054352
Subject10;Group1;Map1;17228;0.737678;0.268502;0.974694;5.398339;1.448831;3.962537;0.319037;0.064296
Subject10;Group1;Map2;8270;0.683936;0.086582;0.953776;4.149395;1.305002;3.127266;0.153148;0.041037
Subject10;Group1;Map3;13004;0.698875;0.149093;0.960651;3.997637;1.331298;3.742705;0.240815;0.052259
Subject10;Group1;Map4;7787;0.689120;0.079084;0.948874;3.828942;1.278481;3.069079;0.144204;0.039648
Subject11;Group1;Map1;17016;0.744324;0.280312;0.974061;4.671326;1.437279;3.688961;0.315111;0.068741
