Subject;Group;Map;NumTF;MeanCorr;Gev;BCorr;MaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject1;Group1;Map1;12509;0.709397;0.151471;0.970464;8.317762;1.489979;3.336462;0.231648;0.057056
Subject1;Group1;Map2;1829;0.557038;0.007626;0.748480;4.455608;1.239583;2.367746;0.033870;0.012074
Subject1;Group1;Map3;23557;0.763318;0.421270;0.987990;8.564643;1.665636;4.559451;0.436241;0.072963
Subject1;Group1;Map4;8782;0.692108;0.079799;0.961385;5.510447;1.379895;2.963285;0.162630;0.045833
Subject2;Group1;Map1;18758;0.736495;0.277167;0.976952;7.469629;1.486908;4.043916;0.347370;0.068722
Subject2;Group1;Map2;170;0.531346;0.000573;0.645107;2.043451;1.103695;1.633199;0.003148;0.001648
Subject2;Group1;Map3;18239;0.750273;0.289407;0.964228;6.824102;1.530146;3.938952;0.337759;0.067241
Subject2;Group1;Map4;8757;0.687105;0.078037;0.921402;3.830785;1.311242;3.085622;0.162167;0.044519
Subject3;Group1;Map1;6298;0.646671;0.060365;0.922627;2.947370;1.190088;2.634507;0.116630;0.038407
Subject3;Group1;Map2;13239;0.660539;0.148530;0.947077;3.657025;1.251081;3.358261;0.245167;0.061833
Subject3;Group1;Map3;18646;0.691375;0.269016;0.956056;4.205926;1.332561;3.815760;0.345296;0.074741
Subject3;Group1;Map4;5255;0.633891;0.044577;0.908172;2.897818;1.154969;2.593587;0.097315;0.033000
Subject4;Group1;Map1;13036;0.729444;0.169114;0.967228;7.841447;1.450857;3.730058;0.241407;0.053111
Subject4;Group1;Map2;4645;0.586847;0.023948;0.788043;4.345446;1.256489;3.030447;0.086019;0.024130
Subject4;Group1;Map3;19967;0.758493;0.334801;0.973610;7.374356;1.593382;4.534409;0.369759;0.065537
Subject4;Group1;Map4;10218;0.709543;0.107323;0.975928;8.725756;1.346758;3.419891;0.189222;0.046556
Subject5;Group1;Map1;12945;0.775624;0.146139;0.969291;4.680752;1.378941;3.222782;0.239722;0.061259
Subject5;Group1;Map2;2885;0.649857;0.010215;0.863849;3.217862;0.989873;2.399863;0.053426;0.019593
Subject5;Group1;Map3;31031;0.822194;0.558800;0.982521;5.834575;1.637827;5.726702;0.574648;0.076704
Subject5;Group1;Map4;6177;0.753838;0.043818;0.977240;3.887070;1.157763;2.700037;0.114389;0.036944
Subject6;Group1;Map1;14890;0.769634;0.191046;0.990874;7.340700;1.680091;3.660759;0.275741;0.060963
Subject6;Group1;Map2;2844;0.611487;0.008072;0.815296;3.090645;1.116508;2.541444;0.052667;0.017296
Subject6;Group1;Map3;23663;0.806885;0.474163;0.988642;9.239494;1.959743;4.666084;0.438204;0.071056
Subject6;Group1;Map4;9674;0.746782;0.083220;0.982160;6.307516;1.448849;3.142201;0.179148;0.047593
Subject7;Group1;Map1;13270;0.788268;0.157167;0.980343;5.512679;1.317004;3.616320;0.245741;0.056648
Subject7;Group1;Map2;2976;0.642508;0.012600;0.839276;3.396749;1.021073;2.557397;0.055111;0.018481
Subject7;Group1;Map3;27816;0.822732;0.504301;0.984089;5.158619;1.538958;5.657807;0.515111;0.070741
Subject7;Group1;Map4;7820;0.766629;0.065041;0.977115;3.818917;1.156986;2.957258;0.144815;0.041907
Subject8;Group1;Map1;7809;0.778132;0.068005;0.982286;4.439662;1.048902;2.993514;0.144611;0.040852
Subject8;Group1;Map2;3508;0.659859;0.014098;0.857532;2.460455;0.884732;2.566054;0.064963;0.021833
Subject8;Group1;Map3;32669;0.841399;0.615765;0.990995;9.918874;1.407827;6.804635;0.604981;0.069500
Subject8;Group1;Map4;8566;0.780269;0.078125;0.980201;3.308565;1.072634;3.093819;0.158630;0.043889
Subject9;Group1;Map1;11550;0.735989;0.128544;0.982312;4.811556;1.382395;3.222112;0.213889;0.055648
Subject9;Group1;Map2;5201;0.653807;0.029157;0.905876;3.807328;1.170747;2.667847;0.096315;0.031148
Subject9;Group1;Map3;20249;0.773548;0.342853;0.984132;5.369645;1.591986;4.071337;0.374981;0.073093
Subject9;Group1;Map4;13888;0.739337;0.169088;0.979865;5.430273;1.433326;3.427137;0.257185;0.062500
Subject10;Group1;Map1;8067;0.691234;0.073262;0.952748;3.906627;1.270197;3.056156;0.149389;0.041167
Subject10;Group1;Map2;11519;0.682430;0.123083;0.953031;8.254804;1.374514;3.695681;0.213315;0.046593
Subject10;Group1;Map3;18993;0.738267;0.301792;0.980793;7.958365;1.527136;4.191175;0.351722;0.065722
Subject10;Group1;Map4;7473;0.681335;0.064024;0.949344;3.994309;1.266933;3.020626;0.138389;0.039093
Subject11;Group1;Map1;6964;0.678895;0.057209;0.952562;3.265042;1.172673;2.772411;0.128963;0.040241
Subject11;Group1;Map2;10330;0.671127;0.093818;0.960266;10.186688;1.227762;3.096475;0.191296;0.052204
Subject11;Group1;Map3;18787;0.739317;0.304465;0.982468;7.068511;1.445371;3.920124;0.347907;0.071648
Subject11;Group1;Map4;11813;0.705356;0.130630;0.968430;6.088201;1.281735;3.201814;0.218759;0.057759
Subject12;Group1;Map1;8673;0.756598;0.078695;0.978416;4.707741;1.141078;3.174338;0.160611;0.043352
Subject12;Group1;Map2;7259;0.690258;0.049426;0.920215;3.554789;1.101000;3.107244;0.134426;0.036944
Subject12;Group1;Map3;24388;0.804460;0.430926;0.983581;5.228392;1.448009;5.123053;0.451630;0.069241
Subject12;Group1;Map4;12098;0.767025;0.134076;0.979337;3.911940;1.220289;3.558843;0.224037;0.052407
Subject13;Group1;Map1;8432;0.697860;0.080299;0.957881;3.694791;1.276040;3.142124;0.156148;0.042611
Subject13;Group1;Map2;12681;0.695649;0.121176;0.969535;4.167088;1.291245;3.658770;0.234833;0.053852
Subject13;Group1;Map3;21015;0.754412;0.346728;0.975174;6.256327;1.507101;4.573211;0.389167;0.069148
Subject13;Group1;Map4;7867;0.698422;0.072583;0.960768;4.177338;1.253894;3.083940;0.145685;0.040241
Subject14;Group1;Map1;9796;0.764203;0.101740;0.981316;3.198531;1.185100;3.537977;0.181407;0.043130
Subject14;Group1;Map2;8436;0.717114;0.062602;0.973460;3.259021;1.082177;3.432744;0.156222;0.039278
Subject14;Group1;Map3;22365;0.815445;0.410904;0.988867;4.274745;1.433267;5.338082;0.414167;0.062593
Subject14;Group1;Map4;11855;0.774541;0.135982;0.979958;3.775286;1.223756;3.750580;0.219537;0.048889
Subject15;Group1;Map1;10842;0.717252;0.109004;0.974695;5.296804;1.267714;2.911883;0.200778;0.057000
Subject15;Group1;Map2;1904;0.591656;0.008584;0.796791;2.886152;1.092772;2.178367;0.035259;0.013500
Subject15;Group1;Map3;21499;0.771166;0.384289;0.981276;6.201117;1.520472;3.913384;0.398130;0.078463
Subject15;Group1;Map4;14508;0.731497;0.170568;0.978714;8.356933;1.317764;3.245055;0.268667;0.067481
Subject16;Group1;Map1;3605;0.635054;0.024606;0.859738;3.392025;1.227530;2.631810;0.066759;0.021759
Subject16;Group1;Map2;16938;0.706616;0.195382;0.972840;4.343154;1.393408;4.195837;0.313667;0.061963
Subject16;Group1;Map3;21895;0.741216;0.350608;0.975561;5.440270;1.538523;4.825783;0.405463;0.068778
Subject16;Group1;Map4;4892;0.641440;0.034444;0.869364;3.456564;1.244308;2.852274;0.090593;0.027204
